Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date
63,72,96,88,2019
71,76,65,81,2020
61,98,80,100,2019
94,62,91,85,2018
76,73,73,86,2020
94,74,61,70,2019
62,74,74,89,2019
77,67,93,89,2018
97,70,77,68,2021
71,68,68,64,2020
81,89,88,78,2019
81,83,89,74,2018
72,92,98,98,2019
61,95,75,69,2018
82,85,65,98,2018
91,98,98,77,2021
90,78,86,67,2019
70,66,75,93,2021
90,83,61,82,2019
99,85,90,69,2021
93,83,72,84,2018
84,67,98,84,2020
97,60,80,64,2020
75,87,65,70,2018
96,76,65,67,2018
81,62,60,88,2021
69,77,62,77,2021
100,66,92,65,2021
93,95,92,88,2018
80,78,60,61,2019
60,73,67,80,2019
71,85,68,72,2018
65,84,69,63,2018
78,65,61,76,2018
92,87,89,60,2019
72,69,91,72,2021
96,78,96,83,2019
80,72,93,77,2019
93,84,69,89,2020
81,66,80,71,2018
60,90,71,88,2018
94,74,81,83,2019
63,96,70,74,2020
65,61,60,65,2019
100,98,74,70,2018
79,85,70,89,2019
89,85,99,77,2018
73,96,80,97,2020
70,84,85,68,2020
80,79,69,92,2020
94,87,68,68,2019
96,66,71,60,2019
68,77,88,63,2020
88,60,99,79,2021
78,98,86,88,2018
85,70,94,84,2019
67,79,91,87,2019
91,78,98,94,2019
68,69,65,78,2019
94,73,74,78,2021
97,83,62,84,2018
82,76,80,98,2018
81,71,68,91,2021
88,93,93,100,2018
75,79,77,76,2018
80,74,99,76,2020
81,73,62,63,2018
76,66,68,89,2021
72,68,78,69,2021
63,81,79,88,2020
65,90,63,83,2019
60,88,71,73,2018
95,73,98,93,2019
63,90,65,76,2020
67,82,75,71,2018
85,69,65,93,2018
78,97,73,88,2019
66,89,63,67,2018
62,95,75,93,2020
72,92,78,94,2019
83,97,97,71,2021
99,92,86,100,2019
94,97,87,98,2020
87,75,96,62,2018
91,97,72,89,2021
86,69,82,83,2021
95,90,68,76,2021
66,72,89,60,2020
85,64,91,78,2021
87,89,67,66,2019
88,94,93,83,2020
64,96,77,60,2020
69,98,93,64,2019
88,94,74,93,2018
83,98,68,80,2019
91,100,85,97,2019
75,96,76,77,2021
60,71,76,80,2021
92,82,73,93,2020
99,73,91,65,2020
85,80,61,60,2021
65,65,61,64,2018
87,73,70,98,2018
71,83,69,81,2021
75,80,98,82,2021
64,78,65,92,2018
86,81,76,63,2021
99,78,76,82,2018
73,81,65,61,2020
76,72,82,97,2018
97,61,99,93,2018
63,73,74,76,2018
66,73,82,62,2020
96,79,67,81,2020
61,91,60,90,2018
99,61,72,100,2019
85,81,90,87,2018
71,85,91,78,2018
68,85,72,80,2018
68,67,62,97,2018
79,75,88,77,2018
70,85,95,94,2018
68,66,78,95,2021
100,100,78,94,2018
67,66,71,95,2021
86,100,97,88,2019
60,79,90,66,2018
96,89,90,94,2021
69,76,80,75,2018
70,77,94,95,2020
95,85,94,93,2018
68,78,82,65,2021
78,86,75,99,2020
66,74,64,71,2020
81,100,88,94,2020
79,76,83,75,2019
89,72,88,67,2021
65,86,61,62,2018
85,72,88,84,2021
67,95,69,95,2018
71,61,81,74,2018
76,82,66,62,2021
60,60,69,93,2020
82,79,96,85,2019
97,76,88,99,2019
91,61,96,94,2020
76,69,98,77,2020
82,67,90,69,2019
89,80,79,100,2018
92,68,70,75,2018
68,94,97,65,2019
97,70,94,92,2018
81,74,71,87,2021
80,79,68,67,2019
82,99,65,80,2018
63,84,89,67,2019
81,93,69,77,2019
97,79,78,83,2021
95,96,66,67,2021
88,85,64,86,2021
96,85,86,77,2019
84,69,73,81,2020
65,94,76,80,2021
72,76,90,60,2019
72,93,60,63,2020
69,80,63,69,2021
68,68,60,91,2018
90,65,91,86,2021
84,63,70,85,2020
93,83,63,71,2021
63,92,95,91,2018
77,80,84,82,2020
71,68,64,90,2021
96,65,88,79,2019
100,70,78,62,2021
70,69,95,88,2019
93,74,97,65,2019
99,77,98,77,2021
60,92,100,84,2021
66,96,74,64,2019
72,89,64,84,2020
75,71,73,62,2019
98,68,89,61,2018
94,73,67,96,2019
93,68,76,95,2021
80,66,100,78,2020
82,63,94,83,2018
97,93,79,95,2018
87,89,68,94,2020
87,87,81,91,2021
87,70,94,74,2019
82,77,63,94,2021
64,96,81,93,2020
86,62,74,78,2021
74,86,67,66,2021
65,88,98,94,2018
61,61,88,83,2018
98,62,68,60,2021
100,71,65,73,2019
93,89,78,85,2018
76,96,95,85,2018
84,65,89,77,2020
77,75,68,62,2020
81,85,89,74,2021
85,81,99,97,2020
94,81,94,98,2020
76,77,100,77,2021
100,74,70,64,2018
87,63,83,97,2020
66,95,84,69,2018
92,64,60,82,2019
92,84,66,74,2018
75,61,87,60,2018
71,86,88,73,2020
91,70,78,80,2020
66,86,91,84,2019
80,66,73,90,2019
95,74,85,84,2018
65,92,92,78,2018
64,75,100,89,2018
92,67,80,87,2020
62,85,90,83,2020
73,96,84,64,2018
92,99,61,84,2020
99,82,61,74,2018
86,90,94,74,2020
91,93,87,85,2020
62,95,73,62,2021
91,72,79,65,2019
96,75,67,73,2020
66,77,84,68,2021
61,97,88,79,2020
86,72,88,77,2021
74,95,94,83,2018
88,87,83,96,2021
94,93,78,69,2019
85,95,74,60,2020
67,87,96,93,2021
92,81,93,64,2021
100,64,97,88,2021
63,78,85,93,2020
